assoc_files,phenocode,phenostring,category,num_cases,num_controls,num_samples
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_ALC_EVER_COM.txt.gz,ALC_EVER_COM,Ever alcohol consumption,behaviour,24035,469,24504
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAG_FPAS_COM.txt.gz,CAG_FPAS_COM,Flag for Providing Assistance (Past 12 Months),behaviour,10736,13752,24488
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAG_HLT_AC_COM.txt.gz,CAG_HLT_AC_COM,Provided assistance with activities,health,5935,18570,24505
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAG_HLT_CS_COM.txt.gz,CAG_HLT_CS_COM,Provided social/ emotional assistance,health,1331,23174,24505
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAG_HLT_MD_COM.txt.gz,CAG_HLT_MD_COM,Provided medical care,health,2754,21751,24505
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAG_HLT_MG_COM.txt.gz,CAG_HLT_MG_COM,Provided managing care,health,3870,20635,24505
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAG_HLT_ML_COM.txt.gz,CAG_HLT_ML_COM,Provided assistance with meal preparation,health,4631,19874,24505
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAG_HLT_NONE_COM.txt.gz,CAG_HLT_NONE_COM,Did not provide assistance,health,13721,10784,24505
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAG_HLT_PR_COM.txt.gz,CAG_HLT_PR_COM,Provided personal care,health,3071,21434,24505
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAG_HLT_TR_COM.txt.gz,CAG_HLT_TR_COM,Provided assistance with transportation,health,7994,16511,24505
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_COFAM_COM.txt.gz,CAO_COFAM_COM,Cough up phlegm in the morning,health,1693,22765,24458
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_COFMAM_COM.txt.gz,CAO_COFMAM_COM,Cough phlegm most mornings,health,1126,23327,24453
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_COFPY_COM.txt.gz,CAO_COFPY_COM,Coughed most days - last 12 months,health,3911,20518,24429
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_COLD_COM.txt.gz,CAO_COLD_COM,Frequent colds persisting longer than other people,health,1281,23136,24417
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_EXERT_COM.txt.gz,CAO_EXERT_COM,Wheeze with mild to moderate exertion,health,1962,22448,24410
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_PHLEGMPY_COM.txt.gz,CAO_PHLEGMPY_COM,Bring up phlegm most days during the year,health,1342,23110,24452
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_SOBFLAT_COM.txt.gz,CAO_SOBFLAT_COM,Short of breath walking on flat surface,health,1735,22687,24422
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_SOBPM_COM.txt.gz,CAO_SOBPM_COM,Shortness of breath following strenuous activity - last 12 months,health,4412,19906,24318
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_SOBUP_COM.txt.gz,CAO_SOBUP_COM,Short of breath climbing stairs or walking uphill,health,6333,18032,24365
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_WHEZ_COM.txt.gz,CAO_WHEZ_COM,Wheezing or whistling in chest - last 12 months,health,4343,20081,24424
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_WKCOF_COM.txt.gz,CAO_WKCOF_COM,Woken up with an attack of coughing - last 12 months,health,4998,19424,24422
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CAO_WKWHEZ_COM.txt.gz,CAO_WKWHEZ_COM,Woken up with an attack of wheezing - last 12 months,health,840,23605,24445
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_ALLRG_COM.txt.gz,CCC_ALLRG_COM,Allergies,health,9284,15009,24293
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_AMI_COM.txt.gz,CCC_AMI_COM,Heart attack or myocardial infarction,health,1175,23234,24409
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_ANGI_COM.txt.gz,CCC_ANGI_COM,angina,health,1054,23328,24382
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_ANXI_COM.txt.gz,CCC_ANXI_COM,Anxiety disorder,health,2135,22288,24423
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_ARTOT_COM.txt.gz,CCC_ARTOT_COM,Other type of arthritis,health,2457,21736,24193
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_ASTHM_COM.txt.gz,CCC_ASTHM_COM,Asthma,health,3234,21172,24406
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_BCKP_COM.txt.gz,CCC_BCKP_COM,Back problems excluding fibromyalgia and arthritis,health,6827,17599,24426
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_CANC_COM.txt.gz,CCC_CANC_COM,Cancer,health,3714,20728,24442
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_CANTP_SNM_COM.txt.gz,CCC_CANTP_SNM_COM,Skin cancer: non-melanoma,health,884,23558,24442
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_COPD_COM.txt.gz,CCC_COPD_COM,"Emphysema, chronic bronchitis, COPD, or chronic changes in lungs due to smoking",health,1413,22970,24383
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_DRFLU_COM.txt.gz,CCC_DRFLU_COM,Flu (Influenza) - past year,health,1527,22906,24433
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_DRUTI_COM.txt.gz,CCC_DRUTI_COM,Urinary Tract Infection - past year,health,1747,22692,24439
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_F1_COM.txt.gz,CCC_F1_COM,"Reported having a Chronic Condition (includes ""other"" chronic conditions)",health,22936,1434,24370
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_F2_COM.txt.gz,CCC_F2_COM,"Reported having a Chronic Condition (excludes ""other"" chronic conditions)",health,22529,1810,24339
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_HBP_COM.txt.gz,CCC_HBP_COM,High blood pressure or hypertension,health,8999,15376,24375
/home/mikekaz/scratch/CLSA_Mike/Regenie/FINAL/Regenie_nextflow/Binary/results/step2/summary/Pheweb_ready_summary_files/_CCC_HEART_COM.txt.gz,CCC_HEART_COM,"Heart disease (including congestive heart failure, or CHF)",health,2833,21539,24372
